Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Returns,Volatility_30,Log_Close,Diff_Log_Close,Lag1,Lag7,Lag30,Rolling_Mean_7,Rolling_Mean_30,Rolling_Std_7,Rolling_Std_30,Rolling_Return_Mean_7
06-10-2000,48.277657,48.813202,48.063438,48.613266,36.936382,14598733,37.34003006,35.12580718,0.000734938,0.021586363,3.609197027,0.000734668,36.909256,38.184227,36.198513,37.21772457,38.03593307,0.263885927,1.644034071,-0.00468444
09-10-2000,48.698952,49.484421,48.420471,48.620407,36.941807,17267329,37.34795114,35.17709189,0.000146874,0.021565572,3.609343891,0.000146863,36.936382,37.500618,36.046608,37.13789443,38.06577303,0.248094923,1.614541439,-0.002105899
10-10-2000,48.706093,48.770359,47.613583,47.870644,36.372128,15003643,37.34078944,35.21484682,-0.015420984,0.021745484,3.593802767,-0.015541124,36.941807,37.164246,35.851288,37.02473471,38.08313437,0.379775047,1.592558393,-0.0030275
11-10-2000,47.556458,47.756393,46.785271,47.170864,35.840431,13593385,37.32190866,35.2442978,-0.014618254,0.021615152,3.579076614,-0.014726153,36.372128,37.164246,36.556602,36.83561829,38.059262,0.577080474,1.621337734,-0.005115822
12-10-2000,46.770988,47.770676,46.064068,46.749565,35.52034,34541080,37.2995559,35.26586672,-0.008931003,0.021670727,3.57010549,-0.008971124,35.840431,37.234776,36.518627,36.59069886,38.02598577,0.724438017,1.663737949,-0.006662793
13-10-2000,46.449661,46.449661,43.571995,45.457115,34.53833,26749594,37.27394776,35.2718177,-0.027646413,0.022220926,3.542069722,-0.028035768,35.52034,37.614548,36.518627,36.15123914,37.95997587,0.909298229,1.761989354,-0.012069336
16-10-2000,45.842709,47.756393,43.593418,44.314621,33.670265,34026193,37.23065284,35.27663544,-0.025133381,0.020213637,3.516615104,-0.025454618,34.53833,36.909256,38.401249,35.68852614,37.8022764,1.227657629,1.925280201,-0.012981175
17-10-2000,43.579136,44.514557,42.45092,43.122139,32.764217,41130622,37.16793486,35.28752479,-0.026909441,0.020547006,3.489336975,-0.027278129,33.670265,36.936382,38.601986,35.09250257,37.6076841,1.502807958,2.126198922,-0.016930372
18-10-2000,42.772247,43.200684,42.022484,42.608013,32.373592,18984563,37.0912193,35.28946379,-0.011922305,0.019916496,3.477343029,-0.011993946,32.764217,36.941807,39.453785,34.43990043,37.37167767,1.556808246,2.300056928,-0.01865454
19-10-2000,42.386654,44.043278,40.987095,43.29351,32.894424,35133648,37.03392666,35.28862648,0.016088175,0.020334344,3.49330316,0.015960131,32.373592,36.372128,39.263893,33.94308557,37.15936203,1.382577935,2.410684393,-0.014153232
